X,Y,Class,Bin_Code
147.1309626,-41.43496526,Rubbish Bin,W
147.1320196,-41.4341212,Rubbish Bin,W
147.1325415,-41.43359423,Rubbish Bin,W
147.1324228,-41.43305579,Rubbish Bin,W
147.1330628,-41.43303051,Rubbish Bin,W
147.1330288,-41.4330634,Rubbish Bin,W
147.1332454,-41.43251433,Rubbish Bin,W
147.1358984,-41.43232998,Rubbish Bin,W
147.1856932,-41.43428105,Rubbish Bin,W
147.1853347,-41.434585,Rubbish Bin,W
147.1850466,-41.43482819,Rubbish Bin,W
147.1882192,-41.43133788,Rubbish Bin,W
147.1886396,-41.4313225,Rubbish Bin,W
147.1886171,-41.43113362,Rubbish Bin,W
147.1879665,-41.43121383,Rubbish Bin,W
147.135366,-41.44348925,Rubbish Bin,W
147.1365417,-41.44294549,Rubbish Bin,W
147.1362505,-41.44367179,Rubbish Bin,W
147.13655,-41.44405627,Rubbish Bin,W
147.1362874,-41.44272343,Rubbish Bin,W
147.1397387,-41.4087451,Rubbish Bin,W
147.1393533,-41.40927851,Rubbish Bin,W
147.139273,-41.40928674,Rubbish Bin,W
147.1392752,-41.40929311,Rubbish Bin,W
147.1392267,-41.4091583,Rubbish Bin,W
147.1395924,-41.40944648,Rubbish Bin,W
147.1435621,-41.41012344,Rubbish Bin,W
147.1431486,-41.41080114,Rubbish Bin,W
147.1427875,-41.4114891,Rubbish Bin,W
147.1428509,-41.41239148,Rubbish Bin,W
147.1443618,-41.41189125,Rubbish Bin,W
147.1384419,-41.40918412,Rubbish Bin,W
147.1383122,-41.40940121,Rubbish Bin,W
147.1337372,-41.4214524,Rubbish Bin,W
147.1366066,-41.43567748,Rubbish Bin,W
147.1364257,-41.43577481,Rubbish Bin,W
147.1372593,-41.43598339,Rubbish Bin,W
147.1375127,-41.43590641,Rubbish Bin,W
147.1368859,-41.4360571,Rubbish Bin,W
147.1358403,-41.43626449,Rubbish Bin,W
147.1369641,-41.42635931,Rubbish Bin,W
147.1375138,-41.42741105,Rubbish Bin,W
147.1375706,-41.42756646,Rubbish Bin,W
147.1377522,-41.42807046,Rubbish Bin,W
147.1379665,-41.4285848,Rubbish Bin,W
147.138211,-41.42934157,Rubbish Bin,W
147.1383451,-41.42978837,Rubbish Bin,W
147.2099401,-41.22992857,Rubbish Bin,W
147.2098648,-41.22964093,Rubbish Bin,W
147.2096419,-41.22973169,Rubbish Bin,W
147.209679,-41.22950999,Rubbish Bin,W
147.2098508,-41.2295564,Rubbish Bin,W
147.2095527,-41.22918208,Rubbish Bin,W
147.1294321,-41.46634811,Rubbish Bin,W
147.160731,-41.46559948,Rubbish Bin,W
147.1637347,-41.46176893,Rubbish Bin,W
147.1531738,-41.43408042,Rubbish Bin,W
147.1311232,-41.44639365,Rubbish Bin,W
147.1321527,-41.44595107,Rubbish Bin,W
147.1703508,-41.43721568,Rubbish Bin,W
147.1477198,-41.43947722,Rubbish Bin,W
147.1379635,-41.41350082,Rubbish Bin,W
